throw_idx,gt_target_x,gt_target_y,gt_target_z,detection_found,detection_confidence,detection_class_name,bbox_x1,bbox_y1,bbox_x2,bbox_y2,depth_surface_m,est_target_x,est_target_y,est_target_z,perception_error_m,surface_vs_vp_error_m,used_target_x,used_target_y,used_ground_truth_fallback,speed_strategy_requested,speed_strategy_used,policy_speed_mps,policy_predicted_error_m,search_best_speed_mps,search_predicted_error_m,planned_vx,planned_vy,planned_vz,achieved_speed_mps,release_time_s,landing_x,landing_y,landing_z,landing_error_gt_m,landing_error_est_m,hit_gt,hit_est,skipped_throw,skip_reason
11,0.967705248114331,-0.1485713708631072,0.06,True,0.9397144317626953,throw_target,245.4550323486328,259.15374755859375,287.75946044921875,300.94586181640625,1.2130465354291142,0.9481442480827098,-0.1622144991256262,-0.05325662762999594,0.023848850517889302,0.005617068030047508,0.9481442480827098,-0.1622144991256262,False,search,search,2.38668834814968,0.34098117528427024,1.5499999999999998,0.02367772860088458,1.1938801251129925,-0.4321480579964983,0.8890434763441213,0.8616370618837143,0.6,0.6059189704061488,-0.15515069811913568,-0.010105560519221908,0.3618460975125804,0.3422981711395177,False,False,False,
12,0.9946699209023717,0.4342973943394713,0.06,True,0.971267580986023,throw_target,455.2138977050781,268.42401123046875,498.6198425292969,310.90936279296875,1.2045185844874002,0.9780762327320919,0.47750059719313254,-0.049808306537734263,0.04628031140676442,0.0058353430488502995,0.9780762327320919,0.47750059719313254,False,search,search,2.4985494254432625,0.11532381888193709,2.2624999999999997,0.08947831572944981,1.3112924754221078,1.309713592183112,1.2977166872442416,1.0773520243440815,0.6,0.7801568533566952,-0.09529041760300004,0.03276678608363166,0.5713835023045996,0.6060211443204978,False,False,False,
13,0.9390462678682052,-0.3109540515514263,0.06,True,0.9568795561790466,throw_target,188.20758056640625,249.35208129882812,229.6558837890625,290.1803283691406,1.2216961026196957,0.9172621177974658,-0.34012872179122283,-0.05143443557945606,0.036410308676326344,0.0054452106041370995,0.9172621177974658,-0.34012872179122283,False,search,search,2.416453333443699,0.21388953744627148,1.8325,0.06213287182249979,1.1635146343238567,-0.9484320010810215,1.0510788196132919,1.0078508991924082,0.6,0.9332574718541111,-0.3395308628316226,0.024164396380264838,0.029157234132145417,0.01600652325562969,True,True,False,
14,0.7400591169995049,-0.3831477905614571,0.06,True,0.9530662298202515,throw_target,169.42605590820312,184.63192749023438,209.54794311523438,222.69204711914062,1.2829943173917864,0.6987997672400722,-0.4190803119004265,-0.048214668420886196,0.05471270448759309,0.004952562560850048,0.6987997672400722,-0.4190803119004265,False,search,search,2.100060875872304,0.15373030618089034,1.8325,0.1308646480108069,0.6433599870694107,-1.3562365177204072,1.0510788196132919,1.5597766896923198,0.6,0.817538827228329,-0.586977983870227,-0.012814229686023422,0.21805928827140816,0.20564190385175296,False,False,False,
15,0.6647421379767159,0.1290073528109504,0.06,True,0.9278972744941711,throw_target,342.57525634765625,161.00869750976562,382.29766845703125,199.12246704101562,1.306475511131913,0.6169774308134797,0.14125729399882592,-0.0499736652930019,0.04931052939784888,0.005599418069238682,0.6169774308134797,0.14125729399882592,False,search,search,1.7431876062591722,0.2804017279128108,0.645,0.03455386635572236,0.33698880579011514,0.406934281961698,0.36995680144642473,0.645,0.6,0.42965201944165315,-0.33727605829125806,0.015442779043586263,0.5221949667527839,0.5138919915698333,False,False,False,
16,0.8581581689791778,0.45726307283347306,0.06,True,0.9531815648078918,throw_target,458.390625,222.64205932617188,500.507080078125,262.353515625,1.2465874115165256,0.8297316025632148,0.501363865358871,-0.04888274264325695,0.052468558009243556,0.006712433510700114,0.8297316025632148,0.501363865358871,False,search,search,2.3859226215563822,0.13232910533659098,2.2175,0.12120923048110979,0.9981228588059505,1.5176668863520872,1.2719057476084445,1.2882029179505685,0.6,0.7821555250950957,0.4448878188115538,0.01646040308170204,0.07700356348557931,0.07384461375663906,True,True,False,
17,0.7559038457216563,-0.10317524852194639,0.06,True,0.8060866594314575,throw_target,264.6279296875,189.08334350585938,304.8701171875,228.69049072265625,1.2782085654184925,0.7165665924243502,-0.11264181898256097,-0.051294239426927984,0.04046029477478135,0.005177946883054686,0.7165665924243502,-0.11264181898256097,False,search,search,1.9367016859642983,0.3579341030065603,0.8374999999999999,0.0211419320161049,0.6086347878667923,-0.3165665065600033,0.480370265444001,0.8375,0.6,0.5398174484664642,-0.5154205086977481,0.008112964862495985,0.46544547007801373,0.4398533082500671,False,False,False,
18,0.7910286077443781,-0.26669813173548146,0.06,True,0.9251864552497864,throw_target,208.07070922851562,200.94577026367188,248.29757690429688,239.09805297851562,1.2678041845462968,0.754293255295584,-0.2903549425794802,-0.05077312302863825,0.04369360157787247,0.005363854879399743,0.754293255295584,-0.2903549425794802,False,search,search,2.1101755145199683,0.22730332610760867,1.3575,0.06979527221755644,0.732636001939373,-0.8365321527206888,0.7786300123465449,1.1630827015444734,0.6,0.7389033673568184,-0.44478335600671565,0.03511842668642492,0.18555696642593797,0.15519337461509405,False,False,False,
19,0.664745555638482,-0.016915934716339762,0.06,True,0.5816548466682434,throw_target,296.69317626953125,160.82046508789062,337.098388671875,199.62588500976562,1.306475511131913,0.6152784606825671,-0.008214426061364483,-0.04976816990056775,0.05022658395959371,0.005050897456083966,0.6152784606825671,-0.008214426061364483,False,search,search,1.7146490799476342,0.4266930605249627,0.6,0.06757067834327611,0.49024816155719764,-0.03493373567782612,0.3441458618106276,0.5999999999999999,0.6,0.6847488879430635,-0.06723943706018588,0.023940471525096145,0.05415337654697628,0.09115970703752244,True,True,False,
20,0.7022035532594084,0.12620515992646908,0.06,True,0.9596723318099976,throw_target,342.6927490234375,172.53250122070312,381.871826171875,210.78573608398438,1.2946284510674562,0.6562238434595595,0.13842432723743192,-0.04974721639569188,0.04757564253955613,0.005034552625639757,0.6562238434595595,0.13842432723743192,False,search,search,1.822204908289934,0.32591258318903876,0.71875,0.029922755593962798,0.4406664148216602,0.39045865635491,0.4122580636273143,0.7187499999999998,0.6,0.7272320765786788,0.10774982597586233,0.01681764211082727,0.031097046978317427,0.07735046346561361,True,True,False,
